,Unnamed: 0,Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact
10,11,Arabica,mohammed lalo,Ethiopia,fahem coffee plantation,,,,fahem coffee plantation,1855 1955,oromia,Fahem Coffee Plantation,300,60 kg,METAD Agricultural Development,2014,"Mar 27, 2015",Mohammed Lalo,,Natural   Dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,88.08,0.1,0,0.0,,1,"Mar 26, 2016",METAD Agricultural Development,309fcf77415a3661ae83e027f7e5f0,19fef5a731de2db57d16da10287413
11,12,Arabica,cqi q coffee sample representa,United States,el filo,,,unknown,coffee quality institute,meters  sea level  1.872,antioquia,Alfredo Jes s L pez P rez,10,1 kg,Almacaf ,2014,"Mar 13, 2015",CQI Q Coffee Sample Representa,,Washed   Wet,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.5,87.92,0.0,0,0.0,,0,"Mar 12, 2016",Almacaf ,e493c36c2d076bf273064f7ac23ad5,70d3c0c26f89e00fdae6fb39ff54f0
12,13,Arabica,cqi q coffee sample representa,United States,los cedros,,,unknown,coffee quality institute,meters  sea level  1.943,antioquia,Jorge Walter Restrepo,10,1 kg,Almacaf ,2014,"Mar 13, 2015",CQI Q Coffee Sample Representa,,Washed   Wet,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,8.33,87.92,0.0,0,0.0,,0,"Mar 12, 2016",Almacaf ,e493c36c2d076bf273064f7ac23ad5,70d3c0c26f89e00fdae6fb39ff54f0
13,14,Arabica,grounds for health admin,United States (Hawaii),arianna farms,,,,,2000 ft,kona,"Robert, Sharon, Arianna Wood",1,1,Specialty Coffee Association,Sept 2009   April 2010,"May 31, 2010",Grounds for Health Admin,,,8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,8.58,87.92,0.0,0,0.0,,2,"May 31, 2011",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d0,0878a7d4b9d35ddbf0fe2ce69a2062
14,15,Arabica,ethiopia commodity exchange,Ethiopia,aolme,,c.p.w.e,010 0338,,1570 1700,oromiya,Bazen Agricultural   Industria,300,60 kg,Ethiopia Commodity Exchange,Mar 10,"Aug 31, 2010",Ethiopia Commodity Exchange,,,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,8.5,87.83,0.05,0,0.0,,2,"Aug 31, 2011",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed,61bbaf6a9f341e5782b8e7bd3ebf76
15,16,Arabica,cqi q coffee sample representa,United States,el  guila,,,unknown,coffee quality institute,meters  sea level  2.080,antioquia,Mar a Leticia Diosa,10,1 kg,Almacaf ,2014,"Mar 13, 2015",CQI Q Coffee Sample Representa,,Washed   Wet,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,8.17,87.58,0.0,0,0.0,,0,"Mar 12, 2016",Almacaf ,e493c36c2d076bf273064f7ac23ad5,70d3c0c26f89e00fdae6fb39ff54f0
16,17,Arabica,grounds for health admin,Indonesia,toarco jaya,,,,,1200 1800m,sulawesi,P.T. Toarco Jaya,1,"2 kg,lbs",Specialty Coffee Association,May August,"May 31, 2010",Grounds for Health Admin,,,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,8.33,87.42,0.03,0,0.0,,0,"May 31, 2011",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d0,0878a7d4b9d35ddbf0fe2ce69a2062
17,18,Arabica,ethiopia commodity exchange,Ethiopia,,,,010 0056,,,yirgacheffe,Green Gold Ethiopia   Phone  0,150,6,Ethiopia Commodity Exchange,2009 2010,"Jun 16, 2010",Ethiopia Commodity Exchange,,,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,8.83,87.33,0.05,0,0.0,,2,"Jun 16, 2011",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed,61bbaf6a9f341e5782b8e7bd3ebf76
18,19,Arabica,yun coffee exchange,China,echo coffee,YNC 06114,echo coffee mill,,yun coffee exchange,1450,yun,Echo Coffee,3,60 kg,Yun Coffee Exchange,2015,"Apr 07, 2016",Yun Coffee Exchange,Catimor,Washed   Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,87.25,0.1,0,0.0,Green,0,"Apr 07, 2017",Yun Coffee Exchange,683fa6014608fc10ff681b0435b0b2,f6d87a6c04653c569d4911a66f89d5
19,20,Arabica,essencecoffee,Ethiopia,drima zede,,drima zede,100181006,essence coffee,1700 2000m,gedio,LevelUp,250,60 kg,Blossom Valley International,2014,"Mar 25, 2015",EssenceCoffee,Ethiopian Yirgacheffe,Natural   Dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,8.33,87.25,0.0,0,0.0,,8,"Mar 24, 2016",Blossom Valley International,fc45352eee499d8470cf94c9827922,de73fc9412358b523d3a641501e542
20,21,Arabica,cqi q coffee sample representa,United States,el rodeo,,,unknown,coffee quality institute,meters  sea level  2.019,antioquia,Nicol s Rueda Urrego,10,1 kg,Almacaf ,2014,"Mar 13, 2015",CQI Q Coffee Sample Representa,,Washed   Wet,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,8.17,87.25,0.0,0,0.0,,0,"Mar 12, 2016",Almacaf ,e493c36c2d076bf273064f7ac23ad5,70d3c0c26f89e00fdae6fb39ff54f0
21,22,Arabica,the coffee source inc.,Costa Rica,several,,cafe altura san ramon,5 562 0015,the coffee source inc.,1300 msnm,san ramon,SEVERAL,250,3 lbs,Specialty Coffee Association,2014,"Apr 02, 2014",The Coffee Source Inc.,Caturra,Washed   Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,87.17,0.11,0,0.0,Green,2,"Apr 02, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d0,0878a7d4b9d35ddbf0fe2ce69a2062
22,23,Arabica,roberto licona franco,Mexico,la herradura,,la herradura,0,,1320,xalapa,ROBERTO LICONA FRANCO,14,1 kg,AMECAFE,2012,"Jul 26, 2012",ROBERTO LICONA FRANCO,,Washed   Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,87.17,0.13,0,0.0,Green,0,"Jul 26, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2,0eb4ee5b3f47b20b049548a2fd1e7d
23,24,Arabica,cqi q coffee sample representa,United States,la curva,,,unknown,coffee quality institute,meters  sea level  2.112,antioquia,Silvia Elena Higuita,10,1 kg,Almacaf ,2014,"Mar 13, 2015",CQI Q Coffee Sample Representa,,Washed   Wet,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,8.17,87.08,0.0,0,0.0,,0,"Mar 12, 2016",Almacaf ,e493c36c2d076bf273064f7ac23ad5,70d3c0c26f89e00fdae6fb39ff54f0
24,25,Arabica,ji ae ahn,Ethiopia,,,,,,,sidamo,,100,60 kg,Specialty Coffee Institute of ,2013,"Sep 03, 2013",Ji Ae Ahn,,Natural   Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,8.08,87.08,0.11,0,0.0,Bluish Green,1,"Sep 03, 2014",Specialty Coffee Institute of ,726e4891cf2c9a4848768bd34b6681,b70da261fcc84831e3e9620c30a870
25,26,Arabica,nucoffee,Brazil,fazenda kaquend,,,002 1251 0073,nucoffee,1250m,south of minas,Ralph Junqueira,3,60 kg,NUCOFFEE,2011,"Dec 03, 2011",NUCOFFEE,Bourbon,Natural   Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,86.92,0.12,0,0.0,Green,2,"Dec 02, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88,aa2ff513ffb9c844462a1fb07c599b
26,27,Arabica,ethiopia commodity exchange,Ethiopia,,,,010 0056 Sidamo,,,sidamo,Green Gold Ethiopia   Phone  0,150,6,Ethiopia Commodity Exchange,2009 2010,"Jun 16, 2010",Ethiopia Commodity Exchange,,,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,8.25,86.92,0.05,0,0.0,,2,"Jun 16, 2011",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed,61bbaf6a9f341e5782b8e7bd3ebf76
27,28,Arabica,kabum trading company,Uganda,chebonet (23) women coffee,,kabum trading company,0,kabum trading company,1950,kapchorwa eastern,Kabum trading company,100,60 kg,Uganda Coffee Development Auth,2013,"Jun 26, 2014",Kabum Trading company,SL14,Washed   Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,86.83,0.12,0,0.0,Green,1,"Jun 26, 2015",Uganda Coffee Development Auth,188fe373b511e21f614564bf86aa47,b7614767a5343729bbde3a2777c60c
28,29,Arabica,bismarck castro,Honduras,los hicaques,102,cigrah s.a c.v.,13 111 053,cigrah s.a c.v,1400,comayagua,Reinerio Zepeda,275,69 kg,Instituto Hondure o del Caf ,2016,"May 18, 2017",Bismarck Castro,Caturra,,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,8.25,86.67,0.1,0,0.0,Green,3,"May 18, 2018",Instituto Hondure o del Caf ,b4660a57e9f8cc613ae5b8f02bfce8,7f521ca403540f81ec99daec7da19c
29,30,Arabica,"lin, che hao kru   ",Taiwan,tsoustructive garden    ,Tsoustructive 2015 Sumatra Typ,tsoustructive garden    ,Taiwan,taiwan coffee laboratory,1200,"leye, alishan township, chiayi","FANG,ZHENG LUN    ",20,50 kg,Specialty Coffee Association,2015,"May 18, 2016","Lin, Che Hao Kru   ",Sumatra,Pulped natural   honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,86.58,0.0,0,0.0,Green,0,"May 18, 2017",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d0,0878a7d4b9d35ddbf0fe2ce69a2062
30,31,Arabica,nora zeas,Nicaragua,,,beneficio atlantic condega,790 0013,,,,,275,6,Specialty Coffee Association,,"May 18, 2010",Nora Zeas,,,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,8.0,86.58,0.08,0,0.0,,2,"May 18, 2011",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d0,0878a7d4b9d35ddbf0fe2ce69a2062
31,32,Arabica,specialty coffee korea,"Tanzania, United Republic Of",,,,A019116,,,,,100,60 kg,Specialty Coffee Institute of ,2012,"Sep 03, 2013",Specialty Coffee Korea,,Natural   Dry,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,8.17,86.5,0.11,0,0.0,Bluish Green,1,"Sep 03, 2014",Specialty Coffee Institute of ,726e4891cf2c9a4848768bd34b6681,b70da261fcc84831e3e9620c30a870
32,33,Arabica,nucoffee,Brazil,fazenda recreio,,,002 1251 0068,nucoffee,1300,vale da grama,Homero Texeira Macedo Junior,29,60 kg,NUCOFFEE,2011,"Dec 03, 2011",NUCOFFEE,Bourbon,Natural   Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,86.42,0.12,0,0.0,Green,2,"Dec 02, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88,aa2ff513ffb9c844462a1fb07c599b
33,34,Arabica,francisco a mena,Costa Rica,exclusive coffees s.a.,,"exclusive coffees s.a,",5818009,exclusive coffees s.a.,1300,west and central valley,Exclusive Coffees S.A.,250,2 lbs,Specialty Coffee Association o,2015 2016,"Dec 03, 2015",Francisco A Mena,Caturra,Washed   Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,86.33,0.0,0,0.0,Blue Green,0,"Dec 02, 2016",Specialty Coffee Association o,8e0b118f3cf3121ab27c5387deacdb,5eb2b7129d9714c43825e44dc3bca9
34,35,Arabica,hider abamecha,Ethiopia,haider abamecha coffee plantat,,faysal abamecha processing pla,2014 15,haider abamecha coffee export,1750 1800,oromia,Haider Abamecha Abadiko,320,60 kg,METAD Agricultural Development,2014,"Mar 27, 2015",Hider Abamecha,,Natural   Dry,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,86.25,0.1,0,0.0,Green,3,"Mar 26, 2016",METAD Agricultural Development,309fcf77415a3661ae83e027f7e5f0,19fef5a731de2db57d16da10287413
35,36,Arabica,daniel magu,Kenya,kangunu,,central kenya coffee mills,0,c dorman ltd,1800,muranga,Kangunu,320,1 kg,Kenya Coffee Traders Associati,2013,"May 30, 2014",Daniel Magu,SL34,Washed   Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,86.25,0.12,0,0.0,Blue Green,1,"May 30, 2015",Kenya Coffee Traders Associati,ccba45b89d859740b749878be8c6d1,d752c909a015f3c76224b3c5cc520f
36,37,Arabica,kona pacific farmers cooperati,United States (Hawaii),,,,220452,kona pacific farmers cooperati,,kona,,10,100 lbs,Specialty Coffee Association,2012,"Apr 06, 2012",Kona Pacific Farmers Cooperati,Hawaiian Kona,Natural   Dry,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,8.33,86.25,0.0,1,0.0,,4,"Apr 06, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d0,0878a7d4b9d35ddbf0fe2ce69a2062
37,38,Arabica,kona pacific farmers cooperati,United States (Hawaii),kona pacific farmers cooperati,,,HDOA 210128 Kona Fancy,,,kona,Kona Pacific Farmers Co Op,25,100 lbs,Specialty Coffee Association,2010,"Jan 28, 2011",Kona Pacific Farmers Cooperati,,,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,8.25,86.25,0.0,2,0.0,,1,"Jan 28, 2012",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d0,0878a7d4b9d35ddbf0fe2ce69a2062
38,39,Arabica,ethiopia commodity exchange,Ethiopia,"phone number   0911 51 08 01, ",,,010 0170,,,yirgacheffe,Contact name   ATO Teshome Bel,300,6,Ethiopia Commodity Exchange,2009 2010,"Jun 17, 2010",Ethiopia Commodity Exchange,,,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.25,0.1,0,0.0,,2,"Jun 17, 2011",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed,61bbaf6a9f341e5782b8e7bd3ebf76
39,40,Arabica,cqi q coffee sample representa,United States,la primavera,,,unknown,coffee quality institute,meters  sea level  1.941,antioquia,Hugo Sep lveda Montoya,10,1 kg,Almacaf ,2014,"Mar 13, 2015",CQI Q Coffee Sample Representa,,Washed   Wet,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,8.08,86.17,0.0,0,0.0,,0,"Mar 12, 2016",Almacaf ,e493c36c2d076bf273064f7ac23ad5,70d3c0c26f89e00fdae6fb39ff54f0
40,41,Arabica,itdp international,Thailand,co op  12,,,01 011 512,lanna cafe,1300,chiang rai,ITDP,53,1 kg,Specialty Coffee Association,2012,"Apr 12, 2012",ITDP International,Caturra,Washed   Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,86.17,0.1,1,0.0,Green,9,"Apr 12, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d0,0878a7d4b9d35ddbf0fe2ce69a2062
41,42,Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,,cocarive,002 1352 0045,,1.2,sul minas   carmo minas,Maria Rogeria Costa Pereira,300,60 kg,Specialty Coffee Association,2010,"Jan 04, 2011",Jacques Pereira Carneiro,Yellow Bourbon,,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,8.08,86.17,0.08,0,0.0,,2,"Jan 04, 2012",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d0,0878a7d4b9d35ddbf0fe2ce69a2062
42,43,Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,,cocarive,002 1352 0045,,1.2,sul minas   carmo minas,Maria Rogeria Costa Pereira,300,60 kg,Specialty Coffee Association,2010,"Jan 04, 2011",Jacques Pereira Carneiro,Yellow Bourbon,,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,8.17,86.17,0.01,0,0.0,,3,"Jan 04, 2012",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d0,0878a7d4b9d35ddbf0fe2ce69a2062
43,44,Arabica,"lin, che hao kru   ",Taiwan,sunshine valley estate       ,,sunshine valley estate       ,Taiwan,taiwan coffee laboratory,1000 m,natou county,LIN YEN CHIEN    ,10,15 kg,Specialty Coffee Association,2015,"Jun 10, 2015","Lin, Che Hao Kru   ",Bourbon,Semi washed   Semi pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,86.08,0.12,0,0.0,Green,0,"Jun 09, 2016",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d0,0878a7d4b9d35ddbf0fe2ce69a2062
44,45,Arabica,jungle estate,Kenya,jungle estate,,nkg coffee mills,NIL,keremara limited,1754,nyeri,JUNGLE ESTATE,12,60 kg,Kenya Coffee Traders Associati,2014,"Jan 29, 2015",Jungle Estate,SL28,Natural   Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,8.0,86.08,0.11,0,0.0,Bluish Green,2,"Jan 29, 2016",Kenya Coffee Traders Associati,ccba45b89d859740b749878be8c6d1,d752c909a015f3c76224b3c5cc520f
45,46,Arabica,nucoffee,Brazil,fazenda kaquend,,,002 1251 0071,nucoffee,1250m,south of minas,Ralph Junqueira,7,60 kg,NUCOFFEE,2011,"Dec 03, 2011",NUCOFFEE,Bourbon,Semi washed   Semi pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,8.0,86.08,0.11,0,0.0,Blue Green,2,"Dec 02, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88,aa2ff513ffb9c844462a1fb07c599b
46,47,Arabica,great lakes coffee uganda,Uganda,kaasayi,,great lakes coffee,0,ucda,,eastern uganda,Kaasay Farmer Group,1,60 kg,Uganda Coffee Development Auth,2014,"Oct 01, 2014",Great Lakes Coffee Uganda,,Semi washed   Semi pulped,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,8.08,86.0,0.0,0,0.0,,0,"Oct 01, 2015",Uganda Coffee Development Auth,188fe373b511e21f614564bf86aa47,b7614767a5343729bbde3a2777c60c
47,48,Arabica,lusso lab,Colombia,ecobio colombia,,,,lusso coffee lab,900 1500m,tolima,,1,2 kg,Specialty Coffee Association,2013,"Mar 20, 2014",LUSSO LAB,Caturra,Washed   Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,8.17,86.0,0.12,1,0.0,Green,1,"Mar 20, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d0,0878a7d4b9d35ddbf0fe2ce69a2062
48,49,Arabica,lusso lab,Kenya,kianjavi,,,,lusso coffee lab,1520m 2200m,kiambu,,1,1 kg,Specialty Coffee Association,2013,"Feb 06, 2014",LUSSO LAB,SL28,Washed   Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,8.17,86.0,0.11,0,0.0,Green,1,"Feb 06, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d0,0878a7d4b9d35ddbf0fe2ce69a2062
49,50,Arabica,afca,Uganda,,,,x,kawacom uganda ltd,1400 1900m,"sipi, mt elgon",Kawacom,1,60 kg,Africa Fine Coffee Association,2012,"Feb 13, 2012",AFCA,,Washed   Wet,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,7.92,86.0,0.1,0,0.0,Blue Green,0,"Feb 12, 2013",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e5,c4ab13415cdd69376a93780c0166e7
50,51,Arabica,ethiopia commodity exchange,Ethiopia,contact   sidacoop ethionet.ne,,coffee processing and warehous,010 0145,,1500 2000 m,sidamo,Sidama Coffee Farmers Coop. Un,300,6,Ethiopia Commodity Exchange,2009 2010,"Jun 17, 2010",Ethiopia Commodity Exchange,,,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,7.92,86.0,0.01,0,0.0,,4,"Jun 17, 2011",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed,61bbaf6a9f341e5782b8e7bd3ebf76
51,52,Arabica,grounds for health admin,United States (Hawaii),hula daddy kona coffee,,,,,1400ft,kona,Hula Daddy Kona Coffee,1,2,Specialty Coffee Association,Fall 2009,"May 31, 2010",Grounds for Health Admin,,,8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,10.0,8.17,86.0,0.0,0,0.0,,0,"May 31, 2011",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d0,0878a7d4b9d35ddbf0fe2ce69a2062
52,53,Arabica,juan luis alvarado romero,Guatemala,la esperanza y anexos,11 23 0252,beneficio ixchel,11 23 0252,"unex guatemala, s.a.",,nuevo oriente,MARGARITA AVILA NUYENS,80,69 kg,Asociacion Nacional Del Caf ,2016,"May 16, 2016",Juan Luis Alvarado Romero,Bourbon,Washed   Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,8.0,85.92,0.1,0,1.0,Green,3,"May 16, 2017",Asociacion Nacional Del Caf ,b1f20fe3a819fd6b2ee0eb8fdc3da2,724f04ad10ed31dbb9d260f0dfd221
53,54,Arabica,kawacom uganda ltd,Uganda,sipi organic coffee project,,kawacom,0,kawacom uganda ltd,1400 1900,eastern,Kawacom (U)Ltd,1,60 kg,Uganda Coffee Development Auth,2013,"Jun 30, 2014",Kawacom Uganda LTD,SL14,Natural   Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,8.0,85.92,0.12,0,0.0,Green,0,"Jun 30, 2015",Uganda Coffee Development Auth,188fe373b511e21f614564bf86aa47,b7614767a5343729bbde3a2777c60c
